"","studyID","arm","time","mean","SD","n","test_type","UnAdj_cluster","chart_ref","chart","converge"
"1","Andrade 2014 12-18","ACTIVAL","baseline","0.57","0.229999999999999","687","Baseline","Baseline and FU","Y","IOTF","Y"
"2","Andrade 2014 12-18","Control","baseline","0.54","0.189999999999999","692","Baseline","Baseline and FU","Y","IOTF","Y"
"3","Dewar 2013 12-18","NEAT GIRLS","baseline","1.06","0.83","178","Baseline and FU","N","Y","IOTF","Y"
"4","Dewar 2013 12-18","NEAT GIRLS","mid","1.01","0.96","141","Baseline and FU","N","Y","IOTF","Y"
"5","Dewar 2013 12-18","Control","baseline","1.02","0.98","179","Baseline and FU","N","Y","IOTF","Y"
"6","Dewar 2013 12-18","Control","mid","0.970000000000001","1.02","153","Baseline and FU","N","Y","IOTF","Y"
"7","Dewar 2013 12-18","NEAT GIRLS","long","0.990000000000001","0.94","113","Baseline and FU","N","Y","IOTF","Y"
"8","Dewar 2013 12-18","Control","long","1.05","0.97","121","Baseline and FU","N","Y","IOTF","Y"
"9","Haerens 2006 12-18","I+P","baseline","0.08","1.05","1116","Baseline and FU","N","Y","Flemish","Y"
"10","Haerens 2006 12-18","I+P","mid","0.22","0.9","1116","Baseline and FU","N","Y","Flemish","Y"
"11","Haerens 2006 12-18","Control","baseline","-0.03","0.95","671","Baseline and FU","N","Y","Flemish","Y"
"12","Haerens 2006 12-18","Control","mid","-0.04","0.94","671","Baseline and FU","N","Y","Flemish","Y"
"13","Haerens 2006 12-18","I","baseline","0.16","0.89","838","Baseline and FU","N","Y","Flemish","Y"
"14","Haerens 2006 12-18","I","mid","0.16","0.84","838","Baseline and FU","N","Y","Flemish","Y"
"15","Haerens 2006 12-18","I+P","long","0.18","0.96","971","Baseline and FU","N","Y","Flemish","Y"
"16","Haerens 2006 12-18","Control","long","0.02","0.94","591","Baseline and FU","N","Y","Flemish","Y"
"17","Haerens 2006 12-18","I","long","0.28","0.93","729","Baseline and FU","N","Y","Flemish","Y"
"18","Hollis 2016 12-18","Physical Activity 4 Everyone","baseline","0.69","1.01","645","Baseline and FU","Baseline and FU","Y","WHO","Y"
"19","Hollis 2016 12-18","Physical Activity 4 Everyone","mid","0.74","0.93","592","Baseline and FU","Baseline and FU","Y","WHO","Y"
"20","Hollis 2016 12-18","Control","baseline","0.75","1.03","505","Baseline and FU","Baseline and FU","Y","WHO","Y"
"21","Hollis 2016 12-18","Control","mid","0.840000000000001","0.85","459","Baseline and FU","Baseline and FU","Y","WHO","Y"
"22","Hollis 2016 12-18","Physical Activity 4 Everyone","long","0.68","0.96","560","Baseline and FU","Baseline and FU","Y","WHO","Y"
"23","Hollis 2016 12-18","Control","long","0.78","0.88","425","Baseline and FU","Baseline and FU","Y","WHO","Y"
"24","Kennedy 2018 12-18","Resistance Training for Teens","baseline","0.64","1.31","349","Baseline and FU","N","Y","IOTF","Y"
"25","Kennedy 2018 12-18","Resistance Training for Teens","short","0.61","1.07","294","Baseline and FU","N","Y","IOTF","Y"
"26","Kennedy 2018 12-18","Control","baseline","0.76","1.21","254","Baseline and FU","N","Y","IOTF","Y"
"27","Kennedy 2018 12-18","Control","short","0.76","1.15","211","Baseline and FU","N","Y","IOTF","Y"
"28","Kennedy 2018 12-18","Resistance Training for Teens","mid","0.59","1.17","279","Baseline and FU","N","Y","IOTF","Y"
"29","Kennedy 2018 12-18","Control","mid","0.870000000000001","1.11","188","Baseline and FU","N","Y","IOTF","Y"
"30","Leme 2018 12-18","H3-G-Brazil group","baseline","0.42","1.03","142","Baseline and FU","N","Y","WHO","Y"
