"","studyID","arm","time","mean","SD","n","test_type","UnAdj_cluster","chart_ref","chart","converge"
"1","Andrade 2014 12-18","ACTIVAL","baseline","0.569916032852366","0.224255533665981","687","Baseline","Baseline and FU","Y","IOTF","Y"
"2","Andrade 2014 12-18","Control","baseline","0.541728476176464","0.190256252321148","692","Baseline","Baseline and FU","Y","IOTF","Y"
"3","Dewar 2013 12-18","NEAT GIRLS","baseline","1.0580857366917","0.823109416497434","178","Baseline and FU","N","Y","IOTF","Y"
"4","Dewar 2013 12-18","NEAT GIRLS","mid","0.989175259593505","0.973360388311205","141","Baseline and FU","N","Y","IOTF","Y"
"5","Dewar 2013 12-18","Control","baseline","0.987155332206215","0.970153250649821","179","Baseline and FU","N","Y","IOTF","Y"
"6","Dewar 2013 12-18","Control","mid","0.984415367306211","1.02917011081088","153","Baseline and FU","N","Y","IOTF","Y"
"7","Dewar 2013 12-18","NEAT GIRLS","long","0.986262819722644","0.972737301800531","113","Baseline and FU","N","Y","IOTF","Y"
"8","Dewar 2013 12-18","Control","long","1.01947754568713","0.999403855677791","121","Baseline and FU","N","Y","IOTF","Y"
"9","Haerens 2006 12-18","I+P","baseline","0.118393077293392","1.04407437425316","1116","Baseline and FU","N","Y","Flemish","Y"
"10","Haerens 2006 12-18","I+P","mid","0.194509403579831","0.901419926437934","1116","Baseline and FU","N","Y","Flemish","Y"
"11","Haerens 2006 12-18","Control","baseline","-0.0184835290783258","0.925094162476979","671","Baseline and FU","N","Y","Flemish","Y"
"12","Haerens 2006 12-18","Control","mid","-0.00268573599870214","0.963746931279953","671","Baseline and FU","N","Y","Flemish","Y"
"13","Haerens 2006 12-18","I","baseline","0.0990028764501833","0.937090550629445","838","Baseline and FU","N","Y","Flemish","Y"
"14","Haerens 2006 12-18","I","mid","0.203625762167046","0.868463546894435","838","Baseline and FU","N","Y","Flemish","Y"
"15","Haerens 2006 12-18","I+P","long","0.171923045987623","0.934966876705552","971","Baseline and FU","N","Y","Flemish","Y"
"16","Haerens 2006 12-18","Control","long","0.0246162491445968","0.936866666001265","591","Baseline and FU","N","Y","Flemish","Y"
"17","Haerens 2006 12-18","I","long","0.22495902539352","0.953609988824628","729","Baseline and FU","N","Y","Flemish","Y"
"18","Hollis 2016 12-18","Physical Activity 4 Everyone","baseline","0.726673069365003","1.01155559746832","645","Baseline and FU","Baseline and FU","Y","WHO","Y"
"19","Hollis 2016 12-18","Physical Activity 4 Everyone","mid","0.718975937907093","0.9670287559754","592","Baseline and FU","Baseline and FU","Y","WHO","Y"
"20","Hollis 2016 12-18","Control","baseline","0.679837217881911","1.04176102462299","505","Baseline and FU","Baseline and FU","Y","WHO","Y"
"21","Hollis 2016 12-18","Control","mid","0.800535984519395","0.864073474005952","459","Baseline and FU","Baseline and FU","Y","WHO","Y"
