"","studyID","arm","time","mean","SD","n","test_type","UnAdj_cluster","chart_ref","chart"
"1","Andrade 2014 12-18","ACTIVAL","baseline","0.595354101640713","0.366181685052323","687","Baseline","Baseline and FU","Y","IOTF"
"2","Andrade 2014 12-18","Control","baseline","0.56346604550212","0.34244350387079","692","Baseline","Baseline and FU","Y","IOTF"
"43","Dewar 2013 12-18","NEAT GIRLS","baseline","0.99056377226006","1.21222137043282","178","Baseline and FU","N","Y","IOTF"
"45","Dewar 2013 12-18","NEAT GIRLS","mid","0.946116298715353","1.21701691900367","141","Baseline and FU","N","Y","IOTF"
"47","Dewar 2013 12-18","Control","baseline","0.992001151909225","1.14873713647566","179","Baseline and FU","N","Y","IOTF"
"49","Dewar 2013 12-18","Control","mid","0.975931595935255","1.18976027213364","153","Baseline and FU","N","Y","IOTF"
"51","Dewar 2013 12-18","NEAT GIRLS","long","0.943994340325627","1.22735925568455","113","Baseline and FU","N","Y","IOTF"
"53","Dewar 2013 12-18","Control","long","0.97637917768121","1.28186328050308","121","Baseline and FU","N","Y","IOTF"
"85","Haerens 2006 12-18","I+P","baseline","0.0383197513490862","1.44438619926822","1116","Baseline and FU","N","Y","Flemish"
"89","Haerens 2006 12-18","I+P","mid","0.119093156515568","1.30977055311588","1116","Baseline and FU","N","Y","Flemish"
"93","Haerens 2006 12-18","Control","baseline","-0.137164431813133","1.34664817340711","671","Baseline and FU","N","Y","Flemish"
"97","Haerens 2006 12-18","Control","mid","-0.0852514762568388","1.33409162099069","671","Baseline and FU","N","Y","Flemish"
"101","Haerens 2006 12-18","I","baseline","0.0466077104770231","1.29880035386896","838","Baseline and FU","N","Y","Flemish"
"105","Haerens 2006 12-18","I","mid","0.196724979069214","1.05056816170751","838","Baseline and FU","N","Y","Flemish"
"109","Haerens 2006 12-18","I+P","long","0.10523017114247","1.36162161107401","971","Baseline and FU","N","Y","Flemish"
"113","Haerens 2006 12-18","Control","long","-0.0397671199943045","1.30061757498796","591","Baseline and FU","N","Y","Flemish"
"117","Haerens 2006 12-18","I","long","0.19083436967368","1.24540241695495","729","Baseline and FU","N","Y","Flemish"
"125","Hollis 2016 12-18","Physical Activity 4 Everyone","baseline","0.691877782257182","1.25392225523257","645","Baseline and FU","Baseline and FU","Y","WHO"
"127","Hollis 2016 12-18","Physical Activity 4 Everyone","mid","0.708231794676344","1.15556370693273","592","Baseline and FU","Baseline and FU","Y","WHO"
"129","Hollis 2016 12-18","Control","baseline","0.654648713895207","1.28104474381096","505","Baseline and FU","Baseline and FU","Y","WHO"
"131","Hollis 2016 12-18","Control","mid","0.755319932162954","1.14292760519351","459","Baseline and FU","Baseline and FU","Y","WHO"
"133","Hollis 2016 12-18","Physical Activity 4 Everyone","long","0.700356450159367","1.08424747601795","560","Baseline and FU","Baseline and FU","Y","WHO"
"135","Hollis 2016 12-18","Control","long","0.770380346790683","1.06668221097598","425","Baseline and FU","Baseline and FU","Y","WHO"
"161","Kennedy 2018 12-18","Resistance Training for Teens","baseline","0.409092567976619","1.99366806847244","349","Baseline and FU","N","Y","IOTF"
"163","Kennedy 2018 12-18","Resistance Training for Teens","short","0.460853505684496","1.80473919541505","294","Baseline and FU","N","Y","IOTF"
"165","Kennedy 2018 12-18","Control","baseline","0.703265739008254","1.64676979160359","254","Baseline and FU","N","Y","IOTF"
"167","Kennedy 2018 12-18","Control","short","0.70000496104308","1.52546420991844","211","Baseline and FU","N","Y","IOTF"
"169","Kennedy 2018 12-18","Resistance Training for Teens","mid","0.452370292042216","1.71596750286859","279","Baseline and FU","N","Y","IOTF"
"171","Kennedy 2018 12-18","Control","mid","0.809490201888714","1.38992683981761","188","Baseline and FU","N","Y","IOTF"
"181","Leme 2018 12-18","H3-G-Brazil group","baseline","0.442949344351045","1.13889357405309","142","Baseline and FU","N","Y","WHO"
"183","Leme 2018 12-18","H3-G-Brazil group","short","0.475864242994246","1.06403879195858","111","Baseline and FU","N","Y","WHO"
"185","Leme 2018 12-18","Control","baseline","0.407921783633178","1.07072978685056","111","Baseline and FU","N","Y","WHO"
"187","Leme 2018 12-18","Control","short","0.398572228373344","1.05166903779662","83","Baseline and FU","N","Y","WHO"
"189","Leme 2018 12-18","H3-G-Brazil group","mid","0.356957135716427","1.0514052971898","89","Baseline and FU","N","Y","WHO"
"191","Leme 2018 12-18","Control","mid","0.332047082862199","1.0938291627345","55","Baseline and FU","N","Y","WHO"
"281","Papadaki 2010 12-18","LP/LGI","baseline","1.06247848362461","1.56812412172905","101","Baseline and FU","N","Y","IOTF"
"285","Papadaki 2010 12-18","LP/LGI","short","1.01026241273445","1.47606835900788","101","Baseline and FU","N","Y","IOTF"
"289","Papadaki 2010 12-18","Control","baseline","1.4211071548396","1.38941167480249","88","Baseline and FU","N","Y","IOTF"
"293","Papadaki 2010 12-18","Control","short","1.3810374994062","1.33388844212992","88","Baseline and FU","N","Y","IOTF"
"297","Papadaki 2010 12-18","LP/HGI","baseline","1.30435618406048","1.45709401050989","85","Baseline and FU","N","Y","IOTF"
"301","Papadaki 2010 12-18","LP/HGI","short","1.23735950601026","1.4040421284329","85","Baseline and FU","N","Y","IOTF"
"305","Papadaki 2010 12-18","HP/LGI","baseline","1.39749909051357","1.42417217949933","91","Baseline and FU","N","Y","IOTF"
"309","Papadaki 2010 12-18","HP/LGI","short","1.22033100867487","1.4028193473454","91","Baseline and FU","N","Y","IOTF"
"313","Papadaki 2010 12-18","HP/HGI","baseline","1.31836107200688","1.45527293154606","95","Baseline and FU","N","Y","IOTF"
"317","Papadaki 2010 12-18","HP/HGI","short","1.18536241461512","1.42318029835783","95","Baseline and FU","N","Y","IOTF"
"333","Shomaker 2019 12-18","Learning to BREATHE","baseline","1.53489307603503","0.727138588639058","29","Baseline and FU","N","Y","CDC"
