"","studyID","arm","time","mean","SD","n","test_type","UnAdj_cluster","chart_ref","chart","converge"
"1","Shomaker 2019 12-18","Learning to BREATHE","baseline","1.598","0.522","29","Baseline and FU","N","Y","CDC","Y"
"2","Shomaker 2019 12-18","Learning to BREATHE","short","1.548","0.442","24","Baseline and FU","N","Y","CDC","Y"
"3","Shomaker 2019 12-18","Control - Health education","baseline","1.474","0.407999999999999","25","Baseline and FU","N","Y","CDC","Y"
"4","Shomaker 2019 12-18","Control - Health education","short","1.416","0.367999999999999","18","Baseline and FU","N","Y","CDC","Y"
"5","Shomaker 2019 12-18","Learning to BREATHE","long","1.264","0.379999999999999","23","Baseline and CS","N","Y","CDC","Y"
"6","Shomaker 2019 12-18","Control - Health education","long","1.522","0.86","21","Baseline and CS","N","Y","CDC","Y"
"7","Brown 2013 5-11","Intervention","baseline","1.088","1.298","31","Baseline and FU","N",NA,NA,"Y"
"8","Brown 2013 5-11","Intervention","short","1.12","1.218","31","Baseline and FU","N",NA,NA,"Y"
"9","Brown 2013 5-11","Control","baseline","1.35","1.344","32","Baseline and FU","N",NA,NA,"Y"
"10","Brown 2013 5-11","Control","short","1.366","1.44","32","Baseline and FU","N",NA,NA,"Y"
"11","Crespo 2012 5-11","APN Fam-only","baseline","0.886000000000001","1.122","163","Baseline and FU","N",NA,NA,"Y"
"12","Crespo 2012 5-11","APN Fam-only","mid","0.976000000000001","1.122","145","Baseline and FU","N",NA,NA,"Y"
"13","Crespo 2012 5-11","Control","baseline","0.916000000000001","1.05","223","Baseline and FU","N",NA,NA,"Y"
"14","Crespo 2012 5-11","Control","mid","0.900000000000001","1.158","205","Baseline and FU","N",NA,NA,"Y"
"15","Crespo 2012 5-11","APN Fam + Comm","baseline","0.838000000000001","1.166","195","Baseline and FU","N",NA,NA,"Y"
"16","Crespo 2012 5-11","APN Fam + Comm","mid","0.848000000000001","1.022","167","Baseline and FU","N",NA,NA,"Y"
"17","Crespo 2012 5-11","APN Comm-only","baseline","0.888000000000001","1.09","216","Baseline and FU","N",NA,NA,"Y"
"18","Crespo 2012 5-11","APN Comm-only","mid","0.794000000000001","1.088","196","Baseline and FU","N",NA,NA,"Y"
"19","Crespo 2012 5-11","APN Fam-only","long","0.950000000000001","1.036","119","Baseline and FU","N",NA,NA,"Y"
"20","Crespo 2012 5-11","Control","long","0.988000000000001","1.106","171","Baseline and FU","N",NA,NA,"Y"
"21","Crespo 2012 5-11","APN Fam + Comm","long","0.896000000000001","0.956","140","Baseline and FU","N",NA,NA,"Y"
"22","Crespo 2012 5-11","APN Comm-only","long","0.920000000000001","1.034","154","Baseline and FU","N",NA,NA,"Y"
