"","studyID","arm","time","mean","SD","n","test_type","UnAdj_cluster","chart_ref","chart","converge"
"1","Shomaker 2019 12-18","Learning to BREATHE","baseline","1.61665038613744","0.512728089097328","29","Baseline and FU","N","Y","CDC","Y"
"2","Shomaker 2019 12-18","Learning to BREATHE","short","1.54775566212232","0.447448386945643","24","Baseline and FU","N","Y","CDC","Y"
"3","Shomaker 2019 12-18","Control - Health education","baseline","1.45776034583045","0.421586610239548","25","Baseline and FU","N","Y","CDC","Y"
"4","Shomaker 2019 12-18","Control - Health education","short","1.40292137609228","0.370337342111465","18","Baseline and FU","N","Y","CDC","Y"
"5","Shomaker 2019 12-18","Learning to BREATHE","long","1.26146122740715","0.385407949677861","23","Baseline and CS","N","Y","CDC","Y"
"6","Shomaker 2019 12-18","Control - Health education","long","1.51459242138122","0.876671567191439","21","Baseline and CS","N","Y","CDC","Y"
"7","Brown 2013 5-11","Intervention","baseline","1.14004038914506","1.26476264872678","31","Baseline and FU","N",NA,NA,"Y"
"8","Brown 2013 5-11","Intervention","short","1.19715821877397","1.25333621331796","31","Baseline and FU","N",NA,NA,"Y"
"9","Brown 2013 5-11","Control","baseline","1.26781330273518","1.34970894214279","32","Baseline and FU","N",NA,NA,"Y"
"10","Brown 2013 5-11","Control","short","1.39534007525139","1.44501391457446","32","Baseline and FU","N",NA,NA,"Y"
"11","Crespo 2012 5-11","APN Fam-only","baseline","0.869932638493103","1.0895256279316","163","Baseline and FU","N",NA,NA,"Y"
"12","Crespo 2012 5-11","APN Fam-only","mid","0.940610273053002","1.10678693410757","145","Baseline and FU","N",NA,NA,"Y"
"13","Crespo 2012 5-11","Control","baseline","0.938208054991958","1.05735374505104","223","Baseline and FU","N",NA,NA,"Y"
"14","Crespo 2012 5-11","Control","mid","0.958156388584278","1.14059842668399","205","Baseline and FU","N",NA,NA,"Y"
"15","Crespo 2012 5-11","APN Fam + Comm","baseline","0.871973087815116","1.12534253763165","195","Baseline and FU","N",NA,NA,"Y"
"16","Crespo 2012 5-11","APN Fam + Comm","mid","0.83928544688758","1.02194885963499","167","Baseline and FU","N",NA,NA,"Y"
"17","Crespo 2012 5-11","APN Comm-only","baseline","0.865052328232999","1.1054879803965","216","Baseline and FU","N",NA,NA,"Y"
"18","Crespo 2012 5-11","APN Comm-only","mid","0.809400578179685","1.05099130609003","196","Baseline and FU","N",NA,NA,"Y"
"19","Crespo 2012 5-11","APN Fam-only","long","0.945991366061844","1.06169551586309","119","Baseline and FU","N",NA,NA,"Y"
"20","Crespo 2012 5-11","Control","long","1.0060137749465","1.0960973370548","171","Baseline and FU","N",NA,NA,"Y"
"21","Crespo 2012 5-11","APN Fam + Comm","long","0.923435619860757","0.94648417063737","140","Baseline and FU","N",NA,NA,"Y"
"22","Crespo 2012 5-11","APN Comm-only","long","0.917935448752443","1.0394273155532","154","Baseline and FU","N",NA,NA,"Y"
"23","Elder 2014 5-11","MOVE/me Muevo","baseline","0.513543870815312","0.964403005732727","271","Baseline and FU","N",NA,NA,"Y"
"24","Elder 2014 5-11","MOVE/me Muevo","mid","0.50364115414275","0.961203245152172","239","Baseline and FU","N",NA,NA,"Y"
