"","studyID","arm","time","mean","SD","n","test_type","UnAdj_cluster","chart_ref","chart"
"1","Andrade 2014 12-18","ACTIVAL","baseline","0.3","0.717255730066289","686","Baseline","Baseline and CS","Y","IOTF"
"2","Andrade 2014 12-18","Control","baseline","0.3","0.652328073053442","685","Baseline","Baseline and CS","Y","IOTF"
"43","Dewar 2013 12-18","NEAT GIRLS","baseline","0.82","1.12","178","Baseline and FU","N","Y","IOTF"
"45","Dewar 2013 12-18","NEAT GIRLS","mid","0.76","1.16","141","Baseline and FU","N","Y","IOTF"
"47","Dewar 2013 12-18","Control","baseline","0.78","1.16","179","Baseline and FU","N","Y","IOTF"
"49","Dewar 2013 12-18","Control","mid","0.81","1.17","153","Baseline and FU","N","Y","IOTF"
"51","Dewar 2013 12-18","NEAT GIRLS","long","0.74","1.18","113","Baseline and FU","N","Y","IOTF"
"53","Dewar 2013 12-18","Control","long","0.82","1.2","121","Baseline and FU","N","Y","IOTF"
"85","Haerens 2006 12-18","I+P","baseline","0.135","1.105","1116","Baseline and FU","N","Y","Flemish"
"89","Haerens 2006 12-18","I+P","mid","0.214","1.051","1116","Baseline and FU","N","Y","Flemish"
"93","Haerens 2006 12-18","Control","baseline","-0.035","1.027","671","Baseline and FU","N","Y","Flemish"
"97","Haerens 2006 12-18","Control","mid","0.056","0.987","671","Baseline and FU","N","Y","Flemish"
"101","Haerens 2006 12-18","I","baseline","0.126","1.012","838","Baseline and FU","N","Y","Flemish"
"105","Haerens 2006 12-18","I","mid","0.246","0.961","838","Baseline and FU","N","Y","Flemish"
"109","Haerens 2006 12-18","I+P","long","0.191","1.068","971","Baseline and FU","N","Y","Flemish"
"113","Haerens 2006 12-18","Control","long","0.067","0.979","591","Baseline and FU","N","Y","Flemish"
"117","Haerens 2006 12-18","I","long","0.266","0.977","729","Baseline and FU","N","Y","Flemish"
"125","Hollis 2016 12-18","Physical Activity 4 Everyone","baseline","0.62","1.02819794360617","645","Baseline and FU","Baseline and FU","Y","WHO"
"127","Hollis 2016 12-18","Physical Activity 4 Everyone","mid","0.61","0.983738753675929","592","Baseline and FU","Baseline and FU","Y","WHO"
"129","Hollis 2016 12-18","Control","baseline","0.59","1.02768347915753","505","Baseline and FU","Baseline and FU","Y","WHO"
"131","Hollis 2016 12-18","Control","mid","0.66","1.00709485989066","459","Baseline and FU","Baseline and FU","Y","WHO"
"133","Hollis 2016 12-18","Physical Activity 4 Everyone","long","0.69","1.00867356476139","560","Baseline and FU","Baseline and FU","Y","WHO"
"135","Hollis 2016 12-18","Control","long","0.71","0.995680971503888","425","Baseline and FU","Baseline and FU","Y","WHO"
"161","Kennedy 2018 12-18","Resistance Training for Teens","baseline","0.7","1.618","348","Baseline and FU","N","Y","IOTF"
"163","Kennedy 2018 12-18","Resistance Training for Teens","short","0.66","1.485","293","Baseline and FU","N","Y","IOTF"
"165","Kennedy 2018 12-18","Control","baseline","0.83","1.498","252","Baseline and FU","N","Y","IOTF"
"167","Kennedy 2018 12-18","Control","short","0.75","1.368","210","Baseline and FU","N","Y","IOTF"
"169","Kennedy 2018 12-18","Resistance Training for Teens","mid","0.66","1.404","278","Baseline and FU","N","Y","IOTF"
"171","Kennedy 2018 12-18","Control","mid","0.81","1.287","186","Baseline and FU","N","Y","IOTF"
"181","Leme 2018 12-18","H3-G-Brazil group","baseline","0.41","1.15","142","Baseline and FU","N","Y","WHO"
"183","Leme 2018 12-18","H3-G-Brazil group","short","0.29","0.9","111","Baseline and FU","N","Y","WHO"
"185","Leme 2018 12-18","Control","baseline","0.16","1.18","111","Baseline and FU","N","Y","WHO"
"187","Leme 2018 12-18","Control","short","0.26","0.9","83","Baseline and FU","N","Y","WHO"
"189","Leme 2018 12-18","H3-G-Brazil group","mid","0.2","0.79","89","Baseline and FU","N","Y","WHO"
"191","Leme 2018 12-18","Control","mid","0.11","0.68","55","Baseline and FU","N","Y","WHO"
"281","Papadaki 2010 12-18","LP/LGI","baseline","-0.14","0.834","101","Baseline and FU","N","Y","IOTF"
"285","Papadaki 2010 12-18","LP/LGI","short","-0.13","0.854","101","Baseline and FU","N","Y","IOTF"
"289","Papadaki 2010 12-18","Control","baseline","0.087","0.835","88","Baseline and FU","N","Y","IOTF"
"293","Papadaki 2010 12-18","Control","short","0.128","0.854","88","Baseline and FU","N","Y","IOTF"
"297","Papadaki 2010 12-18","LP/HGI","baseline","0.004","0.839","85","Baseline and FU","N","Y","IOTF"
"301","Papadaki 2010 12-18","LP/HGI","short","0.011","0.857","85","Baseline and FU","N","Y","IOTF"
"305","Papadaki 2010 12-18","HP/LGI","baseline","0.058","0.839","91","Baseline and FU","N","Y","IOTF"
"309","Papadaki 2010 12-18","HP/LGI","short","0.014","0.849","91","Baseline and FU","N","Y","IOTF"
"313","Papadaki 2010 12-18","HP/HGI","baseline","0.011","0.838","95","Baseline and FU","N","Y","IOTF"
"317","Papadaki 2010 12-18","HP/HGI","short","-0.009","0.858","95","Baseline and FU","N","Y","IOTF"
"333","Shomaker 2019 12-18","Learning to BREATHE","baseline","1.62","0.592","29","Baseline and FU","N","Y","CDC"
"335","Shomaker 2019 12-18","Learning to BREATHE","short","1.58","0.637","24","Baseline and FU","N","Y","CDC"
"337","Shomaker 2019 12-18","Control - Health education","baseline","1.56","0.55","25","Baseline and FU","N","Y","CDC"
"339","Shomaker 2019 12-18","Control - Health education","short","1.5","0.594","18","Baseline and FU","N","Y","CDC"
"341","Shomaker 2019 12-18","Learning to BREATHE","long","1.58","0.719374728496908","23","Baseline and FU","N","Y","CDC"
"343","Shomaker 2019 12-18","Control - Health education","long","1.35","0.824863625092051","21","Baseline and FU","N","Y","CDC"
"3","Barnes 2021 5-11","SWAP IT intervention","baseline","0.59","1.09","163","Baseline and FU","N","Y","WHO"
"6","Barnes 2021 5-11","SWAP IT intervention","mid","0.87","1.05","160","Baseline and FU","N","Y","WHO"
"9","Barnes 2021 5-11","Control","baseline","0.72","1.25","167","Baseline and FU","N","Y","WHO"
"12","Barnes 2021 5-11","Control","mid","1","1.2","163","Baseline and FU","N","Y","WHO"
"15","Barnes 2021 5-11","Physically Active Children in Education (PACE) intervention","baseline","0.57","1.26","283","Baseline and FU","N","Y","WHO"
"18","Barnes 2021 5-11","Physically Active Children in Education (PACE) intervention","mid","0.73","1.22","279","Baseline and FU","N","Y","WHO"
"21","Barnes 2021 5-11","SWAP IT + PACE Combined","baseline","0.48","1.14","202","Baseline and FU","N","Y","WHO"
"24","Barnes 2021 5-11","SWAP IT + PACE Combined","mid","0.74","1.09","199","Baseline and FU","N","Y","WHO"
"27","Brown 2013 5-11","Intervention","baseline","1.02","1.14","31","Baseline and FU","N","Y","CDC"
"28","Brown 2013 5-11","Intervention","short","1.05","1.16","31","Baseline and FU","N","Y","CDC"
"29","Brown 2013 5-11","Control","baseline","1.07","1.16","32","Baseline and FU","N","Y","CDC"
"30","Brown 2013 5-11","Control","short","0.9","2.21","32","Baseline and FU","N","Y","CDC"
"31","Chai 2019 5-11","Telehealth","baseline","1.9","1","16","Baseline and FU","N","Y","IOTF"
"33","Chai 2019 5-11","Telehealth","short","1.8","1.39795918367347","16","Baseline and FU","N","Y","IOTF"
"35","Chai 2019 5-11","Control","baseline","2.1","1.35356815926127","15","Baseline and FU","N","Y","IOTF"
"37","Chai 2019 5-11","Control","short","2.1","1.51164911216769","15","Baseline and FU","N","Y","IOTF"
